model,tok,train_langs,n_sentences,pair,a,b,same_script,trained_pair,n_trained_in_pair,variant,layer,is_ref_layer,top1_a2b,top1_b2a,mutual_nn,cosine_matched,cosine_nonmatched,cosine_margin,dprime
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,4,0,0.00298656,0.0074664,0.0024888,0.717575,0.710268,0.0073069,0.202132
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,5,0,0.00199104,0.00846192,0.00199104,0.690188,0.681607,0.00858069,0.229181
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,6,0,0.00199104,0.00846192,0.00199104,0.670527,0.661539,0.0089878,0.256017
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,7,0,0.0024888,0.00647088,0.00199104,0.599531,0.588961,0.01057,0.335692
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,8,0,0.0024888,0.00696864,0.00199104,0.579401,0.566825,0.0125765,0.423421
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,9,0,0.00199104,0.00547536,0.00099552,0.83196,0.817789,0.0141714,0.0523194
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,10,0,0.0024888,0.00846192,0.00149328,0.816318,0.800128,0.0161897,0.0723083
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,11,0,0.0024888,0.0099552,0.00149328,0.80235,0.783142,0.0192076,0.106431
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,12,1,0.0024888,0.0114485,0.00149328,0.786558,0.764593,0.0219646,0.169801
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,13,0,0.00298656,0.00846192,0.00199104,0.738438,0.715796,0.0226424,0.191987
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,14,0,0.00398208,0.0109507,0.00199104,0.695885,0.673855,0.0220298,0.263139
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,15,0,0.0049776,0.0074664,0.0024888,0.699526,0.680712,0.018814,0.350385
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,raw,16,0,0.0024888,0.00846192,0.0024888,0.003188,-0.0147318,0.0179198,0.342969
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,0,0,0.0890991,0.0696864,0.0507715,0.102319,-3.82717e-05,0.102358,1.28337
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,1,0,0.0652066,0.0587357,0.0462917,0.0824657,5.63032e-05,0.0824094,1.28477
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,2,0,0.0701842,0.0627178,0.0472872,0.0825846,3.70158e-05,0.0825475,1.30324
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,3,0,0.0741663,0.0592334,0.0472872,0.0843136,-4.78729e-06,0.0843184,1.29431
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,4,0,0.0741663,0.0557491,0.0418118,0.0844497,2.08932e-06,0.0844477,1.31564
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,5,0,0.0801394,0.06222,0.0443006,0.0962733,7.57344e-05,0.0961975,1.43508
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,6,0,0.0816327,0.0657043,0.0452962,0.0999546,0.000145711,0.0998089,1.50554
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,7,0,0.0960677,0.0776506,0.0542558,0.110974,0.000150199,0.110824,1.65772
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,8,0,0.107516,0.0895968,0.0587357,0.128175,0.000251246,0.127924,1.81112
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,9,0,0.074664,0.0408163,0.0159283,0.263706,0.000593858,0.263112,1.36641
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,10,0,0.0945744,0.0527626,0.0238925,0.260796,0.000339257,0.260457,1.49725
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,11,0,0.126929,0.0582379,0.0293678,0.26484,0.000147805,0.264692,1.6012
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,12,1,0.158785,0.0736685,0.0443006,0.261779,8.86219e-05,0.261691,1.78923
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,13,0,0.149328,0.0716775,0.0418118,0.251357,-0.00028211,0.251639,1.80159
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,14,0,0.138875,0.0666999,0.0428074,0.238046,-0.000303301,0.23835,1.8632
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,15,0,0.115978,0.0582379,0.037332,0.217978,-0.000113719,0.218092,1.80031
ar-starved,unigram_starved,ar,2009,en-zh,en,zh,0,0,0,centered,16,0,0.074664,0.0662021,0.035341,0.121749,2.50777e-05,0.121724,1.68656
ar-starved,unigram_starved,ar,2009,de-fr,de,fr,1,0,0,raw,0,0,0.0711797,0.0582379,0.0388253,0.459376,0.397134,0.0622419,0.967269
ar-starved,unigram_starved,ar,2009,de-fr,de,fr,1,0,0,raw,1,0,0.0452962,0.0756595,0.0308611,0.765523,0.74207,0.023453,0.800919
ar-starved,unigram_starved,ar,2009,de-fr,de,fr,1,0,0,raw,2,0,0.0487805,0.0652066,0.0313589,0.798449,0.778277,0.020172,0.804111
ar-starved,unigram_starved,ar,2009,de-fr,de,fr,1,0,0,raw,3,0,0.0457939,0.0452962,0.024888,0.845838,0.830397,0.0154402,0.81378
ar-starved,unigram_starved,ar,2009,de-fr,de,fr,1,0,0,raw,4,0,0.0522648,0.0467894,0.0263813,0.882667,0.87048,0.0121866,0.836595
ar-starved,unigram_starved,ar,2009,de-fr,de,fr,1,0,0,raw,5,0,0.0527626,0.0557491,0.0293678,0.872594,0.858693,0.0139015,0.933668
ar-starved,unigram_starved,ar,2009,de-fr,de,fr,1,0,0,raw,6,0,0.0482827,0.0443006,0.024888,0.865887,0.8507,0.0151869,1.01955
