model,tok,train_langs,pair,a,b,same_script,trained_pair,n_trained_in_pair,variant,which_layer,layer,top1_a2b,top1_b2a,mutual_nn,cosine_matched,cosine_nonmatched,cosine_margin,dprime,cka
ar-fair-2b,unigram_destarved,ar,en-ar,en,ar,0,0,1,raw,best,13,0.342957,0.366351,0.209557,0.942413,0.922124,0.0202881,2.69239,0.65116
ar-fair-2b,unigram_destarved,ar,en-ar,en,ar,0,0,1,centered,ref,12,0.963664,0.950722,0.934793,0.446293,-0.000166573,0.44646,5.94975,0.633896
ar-fair-2b,unigram_destarved,ar,en-ar,en,ar,0,0,1,centered,best,12,0.963664,0.950722,0.934793,0.446293,-0.000166573,0.44646,5.94975,0.633896
ar-fair-2b,unigram_destarved,ar,en-zh,en,zh,0,0,0,raw,ref,12,0.00846192,0.00796416,0.00398208,0.947373,0.944965,0.002408,0.220361,0.320023
ar-fair-2b,unigram_destarved,ar,en-zh,en,zh,0,0,0,raw,best,0,0.0612245,0.0383275,0.0243902,0.0996856,0.0537005,0.0459851,0.90581,0.154787
ar-fair-2b,unigram_destarved,ar,en-zh,en,zh,0,0,0,centered,ref,12,0.0587357,0.0447984,0.0298656,0.11086,9.06953e-05,0.110769,1.16648,0.301716
ar-fair-2b,unigram_destarved,ar,en-zh,en,zh,0,0,0,centered,best,0,0.0925834,0.0741663,0.0612245,0.0690607,4.7609e-05,0.0690131,0.998702,0.149864
ar-fair-2b,unigram_destarved,ar,de-fr,de,fr,1,0,0,raw,ref,12,0.0577402,0.0522648,0.0273768,0.973088,0.969098,0.00398981,0.914741,0.405212
ar-fair-2b,unigram_destarved,ar,de-fr,de,fr,1,0,0,raw,best,0,0.104032,0.085117,0.0666999,0.355381,0.275478,0.0799025,1.20408,0.158062
ar-fair-2b,unigram_destarved,ar,de-fr,de,fr,1,0,0,centered,ref,12,0.184669,0.203584,0.146341,0.225295,0.000519461,0.224776,1.94758,0.376836
ar-fair-2b,unigram_destarved,ar,de-fr,de,fr,1,0,0,centered,best,11,0.183176,0.200597,0.146341,0.228859,0.000544617,0.228315,1.93714,0.384682
ar-fair-2b,unigram_destarved,ar,de-ar,de,ar,0,0,1,raw,ref,12,0.00696864,0.00597312,0.00199104,0.918786,0.915932,0.00285413,0.310076,0.313056
ar-fair-2b,unigram_destarved,ar,de-ar,de,ar,0,0,1,raw,best,0,0.0253858,0.012444,0.00945744,0.0157764,-0.0150677,0.0308441,0.738957,0.139978
ar-fair-2b,unigram_destarved,ar,de-ar,de,ar,0,0,1,centered,ref,12,0.110005,0.109009,0.0652066,0.111585,-3.12922e-05,0.111616,1.81056,0.312851
ar-fair-2b,unigram_destarved,ar,de-ar,de,ar,0,0,1,centered,best,12,0.110005,0.109009,0.0652066,0.111585,-3.12922e-05,0.111616,1.81056,0.312851
ar-fair-2b,unigram_destarved,ar,de-zh,de,zh,0,0,0,raw,ref,12,0.0184171,0.010453,0.00647088,0.976194,0.973376,0.00281818,0.658622,0.356326
ar-fair-2b,unigram_destarved,ar,de-zh,de,zh,0,0,0,raw,best,0,0.0413141,0.0258835,0.0179194,0.191989,0.145341,0.046648,0.738899,0.121579
ar-fair-2b,unigram_destarved,ar,de-zh,de,zh,0,0,0,centered,ref,12,0.0502738,0.0368342,0.0233947,0.1596,0.000779773,0.15882,1.08324,0.327966
ar-fair-2b,unigram_destarved,ar,de-zh,de,zh,0,0,0,centered,best,0,0.0766551,0.0701842,0.0502738,0.0794983,0.000356005,0.0791423,1.02059,0.114061
ar-fair-2b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,raw,ref,12,0.00398208,0.00647088,0.00099552,0.923746,0.919843,0.0039031,0.481315,0.366674
ar-fair-2b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,raw,best,0,0.022897,0.0169238,0.00945744,0.0274869,-0.00355615,0.031043,0.808681,0.140056
ar-fair-2b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,centered,ref,12,0.219512,0.217023,0.142359,0.154444,-3.17599e-05,0.154476,2.57385,0.361881
ar-fair-2b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,centered,best,11,0.214535,0.226481,0.144848,0.161706,1.06869e-05,0.161695,2.54154,0.375381
ar-fair-2b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,raw,ref,12,0.00796416,0.0119462,0.0024888,0.965939,0.963605,0.00233415,0.501767,0.318078
ar-fair-2b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,raw,best,0,0.0253858,0.0318566,0.014435,0.144154,0.108113,0.0360413,0.632817,0.110588
ar-fair-2b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,centered,ref,12,0.0472872,0.0328522,0.0194126,0.131693,0.000537474,0.131156,1.07777,0.289775
