run,name,wandb_id,leg,step,tokens,metric,value
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,25095,23771080413.21733,eval/flores_ar_bpb,0.8378713576425345
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,25095,23771080413.21733,eval/flores_en_bpb,1.1328637048298291
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,25095,23771080413.21733,eval/holdout_ar_bpb,0.6988580774828849
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,25095,23771080413.21733,eval/holdout_en_bpb,0.9332364896527888
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,25604,24253227451.68426,eval/flores_ar_bpb,0.8361349776288423
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,25604,24253227451.68426,eval/flores_en_bpb,1.146670765069114
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,25604,24253227451.68426,eval/holdout_ar_bpb,0.7085332806511818
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,25604,24253227451.68426,eval/holdout_en_bpb,0.9475440918862537
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,26113,24735374490.15119,eval/flores_ar_bpb,0.8490533432996752
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,26113,24735374490.15119,eval/flores_en_bpb,1.1582785367036952
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,26113,24735374490.15119,eval/holdout_ar_bpb,0.7251141442430813
